gene	GFP_rep1	GFP_rep2	GFP_rep3	WT_rep1	WT_rep2	WT_rep3	DA_rep1	DA_rep2	DA_rep3
ENSG00000015676	176	117	127	271	217	204	470	472	498
ENSG00000016082	68	43	29	63	62	58	92	111	126
ENSG00000016391	106	106	100	150	190	154	258	372	370
ENSG00000016402	0	1	0	0	1	0	4	0	3
ENSG00000016490	1	0	0	1	0	0	1	4	2
ENSG00000016602	0	0	0	1	0	0	1	1	0
ENSG00000016864	133	65	107	155	202	156	243	283	279
ENSG00000017260	1089	872	1014	2017	1816	1683	2801	3433	3499
ENSG00000017373	14	12	16	16	19	22	33	35	44
ENSG00000017427	2	0	6	7	1	4	13	12	12
ENSG00000017483	0	0	2	1	1	3	4	2	3
ENSG00000017621	7	5	7	9	9	10	14	19	21
ENSG00000017797	465	363	347	671	784	707	1055	1343	1506
ENSG00000018189	363	345	362	677	637	671	886	1175	1220
ENSG00000018236	268	194	201	378	446	369	491	579	727
ENSG00000018280	0	1	0	0	0	0	5	3	2
ENSG00000018408	312	193	199	432	466	383	533	774	767
ENSG00000018510	1274	970	1012	2055	2105	1764	2694	3933	3995
ENSG00000018607	1	0	0	0	0	1	2	2	2
ENSG00000018610	587	441	382	893	1035	796	1212	1596	1763
ENSG00000018625	1	0	0	3	2	3	7	6	3
ENSG00000018699	290	236	285	489	499	492	717	983	921
ENSG00000018869	40	35	32	83	91	89	91	164	159
ENSG00000019102	0	0	0	2	0	1	1	1	0
ENSG00000019144	85	58	55	151	132	153	255	260	288
ENSG00000019169	0	0	0	0	0	0	1	0	0
ENSG00000019186	1	0	2	1	0	0	2	0	0
ENSG00000019485	5	12	7	23	21	19	37	38	47
ENSG00000019505	3	7	8	6	16	8	28	32	32
ENSG00000019549	0	11	7	7	7	6	20	37	21
ENSG00000019582	5	2	0	5	5	4	9	6	7
ENSG00000019991	5	3	3	12	9	3	13	16	12
ENSG00000019995	598	546	593	1249	1052	896	1539	1995	2113
ENSG00000020129	45	51	40	79	84	79	178	164	203
ENSG00000020181	12	11	20	39	34	40	52	57	81
ENSG00000020219	0	0	0	0	0	1	0	0	0
ENSG00000020256	109	85	104	132	153	197	277	315	349
ENSG00000020426	366	352	363	792	725	608	854	1098	1096
